"","Var1","freq","Vogue1B.01.01","Vogue1B.01.03","Vogue1B.01.04","Vogue1B.01.05","Vogue1B.01.06","Vogue1B.01.08","Vogue1B.01.09","Vogue1B.01.11","Vogue1B.01.12","Vogue1B.01.13","Vogue1B.01.15","Vogue1B.01.17","Vogue1B.01.21","Vogue1B.01.26","Vogue1B.01.27","Vogue1B.01.32","Vogue1B.01.34","Vogue1B.01.36","Vogue1B.01.37","Vogue1B.01.38","Vogue1B.01.40","Vogue1B.01.43","Vogue1B.01.48","Vogue1B.01.51","Vogue1B.01.52"
"1","1",20456,295,1285,14,132,165,464,38,324,277,133,1030,65,902,2631,148,79,431,9206,36,106,532,389,231,966,577
"2","Adenoviridae",1559,19,60,16,36,192,61,19,24,62,27,45,63,18,37,86,193,88,85,9,96,40,25,106,16,136
"3","Alloherpesviridae",131,1,16,1,7,5,8,0,4,5,4,3,11,2,1,17,0,8,4,0,13,1,2,14,1,3
"4","Alphaflexiviridae",300,2,17,1,3,51,11,0,1,6,6,0,8,1,0,6,0,27,22,1,16,0,0,13,2,106
"5","Ampullaviridae",3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Anelloviridae",517,4,2,1,0,17,3,0,100,3,2,0,3,18,55,1,1,29,13,2,94,91,0,53,24,1
"7","Ascoviridae",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,0
"8","Asfarviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9","Astroviridae",18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"10","Baculoviridae",590,12,50,15,18,45,17,6,13,24,26,3,40,3,10,50,12,35,44,4,55,1,9,71,16,11
"11","Bicaudaviridae",35,0,2,0,0,2,1,0,1,1,2,0,1,0,0,5,3,1,1,0,3,0,1,6,1,4
"12","Caudovirales",144,0,2,0,0,7,2,14,75,9,0,0,0,1,1,0,9,4,8,2,1,4,4,1,0,0
"13","Caulimoviridae",6,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Circoviridae",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","Closteroviridae",3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Coronaviridae",4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Endornaviridae",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Flaviviridae",4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
"19","Fuselloviridae",33,1,3,0,0,1,1,0,0,0,0,5,4,2,0,2,0,6,2,0,2,0,0,4,0,0
"20","Hepeviridae",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Herpesviridae",1649126,1367,386,1633432,204,389,272,176,3131,223,3024,259,334,183,3881,402,93,271,78,47,294,77,159,328,67,49
"22","Hytrosaviridae",19,0,3,0,0,3,0,0,1,0,0,0,0,0,0,3,0,2,1,0,4,0,0,2,0,0
"23","Inoviridae",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"24","Iridoviridae",196,2,25,1,9,4,1,0,5,5,2,1,37,4,1,26,1,10,3,0,25,2,4,25,1,2
"25","Lactobacillus phage",1536,56,809,0,11,0,485,0,0,0,2,13,0,0,0,0,0,43,117,0,0,0,0,0,0,0
"26","Lipothrixviridae",102,39,0,0,0,2,0,0,0,1,0,8,0,1,0,0,0,0,1,0,2,0,45,3,0,0
"27","Luteoviridae",8,0,0,2,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"28","Microviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"29","Mimiviridae",586,4,5,1,6,9,4,16,11,4,1,2,3,367,27,12,1,2,6,4,4,75,10,6,5,1
"30","Mycodnaviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"31","Myoviridae",15284,557,273,7,78,141,297,128,74,31,72,4503,71,57,371,131,9,155,6872,284,136,51,70,181,87,648
"32","Nimaviridae",132,1,5,0,0,4,6,0,6,3,2,0,4,0,4,7,0,6,49,0,6,1,0,16,11,1
"33","Nodaviridae",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Nudiviridae",38,0,0,1,0,3,1,0,0,0,0,0,2,0,1,2,8,0,9,0,0,0,0,8,0,3
"35","Other dsDNA Viruses",392,29,18,22,16,30,21,5,4,21,3,2,21,6,19,37,2,13,12,2,40,2,28,32,4,3
"36","Other Phages",447,34,0,0,0,1,0,4,8,73,45,7,2,35,8,2,3,4,128,3,1,4,70,0,15,0
"37","Other ssDNA viruses",9,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"38","Other ssRNA negative viruses",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Other ssRNA positive viruses",12,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"40","Other Viruses (unclassified)",9297,38,75,2,12,53,138,25,108,23,83,18,3,53,4606,8,256,25,3657,47,17,1,8,10,30,1
"41","Pandoraviridae ",1121,20,128,15,26,36,26,23,19,41,17,2,161,18,14,92,10,57,30,2,200,19,16,131,16,2
"42","Papillomaviridae",3690047,2430,4057,277,368,417,6361,31590,2887,4478,525,380,610,1287943,9596,1137,379,773184,6439,107,258899,1604,1294523,1571,181,104
"43","Paramyxoviridae",18,0,0,0,2,1,0,0,0,2,0,0,2,1,2,3,2,1,1,0,0,0,1,0,0,0
"44","Parvoviridae",17,1,0,2,1,0,1,0,0,3,0,0,2,0,0,0,0,1,3,1,1,0,1,0,0,0
"45","Phycodnaviridae",15587,335,903,339,569,1857,421,19,211,617,308,28,753,94,100,1101,350,945,1162,91,1396,84,164,1701,506,1533
"46","Picornaviridae",15,0,0,0,0,4,0,0,0,2,0,0,3,0,0,3,0,1,0,0,0,0,1,1,0,0
"47","Podoviridae",18935,239,38,8,154,517,582,36,492,295,175,8253,23,131,104,46,3705,124,1031,480,132,193,956,69,28,1124
"48","Polydnaviridae",2993,41,264,7,70,45,47,7,30,73,41,11,357,50,18,229,18,109,72,6,1245,32,21,179,18,3
"49","Polyomaviridae",190,5,3,0,0,0,1,0,0,22,0,4,0,0,0,0,3,0,146,1,1,1,2,0,0,1
"50","Potyviridae",6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0
"51","Poxviridae",82,2,2,1,3,8,2,0,1,3,1,2,4,1,4,7,6,1,5,0,7,2,1,6,4,9
"52","Reoviridae",21,0,0,0,0,13,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,4,0,0,0
"53","Retroviridae",651,10,34,1,19,123,23,0,8,23,7,2,32,3,5,49,13,48,73,1,65,4,9,75,10,14
"54","Rhabdoviridae",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"55","Secoviridae",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"56","Siphoviridae",56837,2550,486,32,313,334,345,98,1335,194,418,1672,21,234,7806,198,2470,329,34190,355,127,677,1244,117,154,1138
"57","Streptococcus phage",482,0,0,0,0,0,0,0,2,0,7,5,0,0,0,0,0,0,467,0,0,0,1,0,0,0
"58","Totiviridae",19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","Turriviridae",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Tymoviridae",21,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,7,1,1,3,0,1
"61","Vibrio phage",192,0,0,0,0,2,12,1,0,1,40,0,0,0,1,1,95,2,4,23,4,0,6,0,0,0
